timestamp,open,high,low,close,volume
2024-04-04 09:00:00+00:00,1.26633,1.26698,1.26478,1.26688,13639
2024-04-04 13:00:00+00:00,1.26686,1.26835,1.26617,1.26658,14074
2024-04-04 17:00:00+00:00,1.26658,1.26701,1.26352,1.26426,17937
2024-04-04 21:00:00+00:00,1.264,1.26488,1.2636,1.26472,8261
2024-04-05 01:00:00+00:00,1.26471,1.26476,1.26214,1.26256,12165
2024-04-05 05:00:00+00:00,1.26256,1.26406,1.26143,1.26369,14890
2024-04-05 09:00:00+00:00,1.26366,1.26449,1.25826,1.2595,20804
2024-04-05 13:00:00+00:00,1.25954,1.26356,1.2574,1.26348,29843
2024-04-05 17:00:00+00:00,1.26349,1.26406,1.26314,1.26384,11808
2024-04-07 21:00:00+00:00,1.26288,1.26347,1.26149,1.26164,6545
2024-04-08 01:00:00+00:00,1.26162,1.26398,1.2616,1.26292,15328
2024-04-08 05:00:00+00:00,1.26294,1.26349,1.26188,1.26218,17084
2024-04-08 09:00:00+00:00,1.26216,1.26365,1.26135,1.26264,13598
2024-04-08 13:00:00+00:00,1.26266,1.26561,1.26266,1.26484,20330
2024-04-08 17:00:00+00:00,1.26486,1.26642,1.26472,1.2655,9896
2024-04-08 21:00:00+00:00,1.26538,1.26598,1.26498,1.2654,5644
2024-04-09 01:00:00+00:00,1.2654,1.26618,1.26523,1.26566,12756
2024-04-09 05:00:00+00:00,1.26566,1.26644,1.26489,1.26605,11622
2024-04-09 09:00:00+00:00,1.26606,1.2704,1.26569,1.26966,15726
2024-04-09 13:00:00+00:00,1.26962,1.27095,1.26668,1.26698,23825
2024-04-09 17:00:00+00:00,1.26696,1.268,1.26631,1.26772,11811
2024-04-09 21:00:00+00:00,1.26799,1.26799,1.26712,1.2675,5207
2024-04-10 01:00:00+00:00,1.2675,1.2679,1.2669,1.26774,10688
2024-04-10 05:00:00+00:00,1.26774,1.26946,1.26728,1.26944,11516
2024-04-10 09:00:00+00:00,1.26944,1.27085,1.2595,1.26118,22793
2024-04-10 13:00:00+00:00,1.26116,1.26124,1.25202,1.25342,35960
2024-04-10 17:00:00+00:00,1.25342,1.2554,1.2522,1.25406,21914
2024-04-10 21:00:00+00:00,1.25384,1.2542,1.25322,1.25374,8054
2024-04-11 01:00:00+00:00,1.25374,1.25496,1.25362,1.25472,13002
2024-04-11 05:00:00+00:00,1.25474,1.257,1.25326,1.25506,16919
2024-04-11 09:00:00+00:00,1.25506,1.25724,1.25298,1.25672,24380
2024-04-11 13:00:00+00:00,1.25672,1.25788,1.25109,1.2537,33446
2024-04-11 17:00:00+00:00,1.2537,1.2564,1.25332,1.2553,14448
2024-04-11 21:00:00+00:00,1.25555,1.25572,1.25496,1.25554,5567
2024-04-12 01:00:00+00:00,1.25554,1.2559,1.25368,1.25378,11419
2024-04-12 05:00:00+00:00,1.25378,1.25444,1.25056,1.25082,16459
2024-04-12 09:00:00+00:00,1.25081,1.25116,1.24512,1.24545,21654
2024-04-12 13:00:00+00:00,1.24547,1.24664,1.24268,1.2449,37056
2024-04-12 17:00:00+00:00,1.2449,1.24624,1.24428,1.24492,18695
2024-04-14 21:00:00+00:00,1.24497,1.24632,1.24418,1.24522,9991
2024-04-15 01:00:00+00:00,1.24524,1.24648,1.24408,1.24607,17201
2024-04-15 05:00:00+00:00,1.24608,1.24876,1.24581,1.24818,18738
2024-04-15 09:00:00+00:00,1.24818,1.24988,1.2451,1.24796,20161
2024-04-15 13:00:00+00:00,1.248,1.24965,1.24452,1.24576,28924
2024-04-15 17:00:00+00:00,1.24575,1.24624,1.24358,1.24462,18890
2024-04-15 21:00:00+00:00,1.24463,1.24496,1.24373,1.24376,8213
2024-04-16 01:00:00+00:00,1.24375,1.2439,1.24205,1.24332,17353
2024-04-16 05:00:00+00:00,1.24333,1.2449,1.24086,1.24368,19910
2024-04-16 09:00:00+00:00,1.24368,1.2472,1.24366,1.24606,19287
2024-04-16 13:00:00+00:00,1.24606,1.24676,1.24273,1.24356,31952
2024-04-16 17:00:00+00:00,1.2436,1.24512,1.24053,1.24268,26429
2024-04-16 21:00:00+00:00,1.24327,1.24332,1.24232,1.24293,8077
2024-04-17 01:00:00+00:00,1.24294,1.244,1.24252,1.24294,13749
2024-04-17 05:00:00+00:00,1.24294,1.24822,1.2417,1.24714,21286
2024-04-17 09:00:00+00:00,1.24714,1.24769,1.2446,1.24506,16584
2024-04-17 13:00:00+00:00,1.24504,1.247,1.24242,1.24289,28922
2024-04-17 17:00:00+00:00,1.24288,1.24655,1.24266,1.24552,20453
